Rank,Title,Type,Region
1,Squad Busters,Free,Egypt
2,Pizza Ready!,Free,Egypt
3,Subway Surfers,Free,Egypt
4,Knife Hit,Free,Egypt
5,Die Again: Troll Game Ever,Free,Egypt
6,Ludo Club - Dice & Board Game,Free,Egypt
7,Going Balls,Free,Egypt
8,PUBG MOBILE,Free,Egypt
9,Cooking Rage - Restaurant Game,Free,Egypt
10,Millionaire - Quiz & Trivia,Free,Egypt
11,8 Ball Pool,Free,Egypt
12,Traffic Rider,Free,Egypt
13,Football League 2024,Free,Egypt
14,Candy Joker Tandem,Free,Egypt
15,Candy Crush Saga,Free,Egypt
16,Yalla Ludo - Ludo&Domino,Free,Egypt
17,Wood Nuts & Bolts  Screw,Free,Egypt
18,Block Blast!,Free,Egypt
19,Real Car Driving: Race City 3D,Free,Egypt
20,Galaxy Attack: Shooting Game,Free,Egypt
21,Bottle Jump 3D,Free,Egypt
22,Rollance: Adventure Balls,Free,Egypt
23,Ramp Car Games: GT Car Stunts,Free,Egypt
24,كلمات كر� ,Free,Egypt
25,World War: Army Battle FPS 3D,Free,Egypt
26,My Talking Tom Friends,Free,Egypt
27,Hungry Shark Evolution,Free,Egypt
28,Bridge Race,Free,Egypt
29,Car Racing 3D: Racer Master,Free,Egypt
30,Worms Zone .io - Hungry Snake,Free,Egypt
31,Build A Queen,Free,Egypt
32,Car Race 3D: Car Racing,Free,Egypt
33,Frontline Heroes: WW2 Warfare,Free,Egypt
34,Roblox,Free,Egypt
35,EA SPORTS FC Mobile Soccer,Free,Egypt
36,Royal Match,Free,Egypt
37,Brain Test: Tricky Puzzles,Free,Egypt
38,Free Fire,Free,Egypt
39,My Talking Angela,Free,Egypt
40,Asphalt 8 - Car Racing Game,Free,Egypt
41,Fashion Show: Makeup  Dress Up,Free,Egypt
42,Gangster Simulator Crime Game,Free,Egypt
43,Tiles Hop: EDM Rush,Free,Egypt
44,2 Player games: the Challenge,Free,Egypt
45,Hill Climb Racing 2,Free,Egypt
46,Traffic Driving Car Simulator,Free,Egypt
47,Dr. Driving,Free,Egypt
48,My Talking Tom,Free,Egypt
49,Payback 2 - The Battle Sandbox,Free,Egypt
50,Space shooter - Galaxy attack,Free,Egypt
1,Minecraft,Paid,Egypt
2,Bloons TD 6,Paid,Egypt
3,Geometry Dash,Paid,Egypt
4,Grand Theft Auto: San Andreas,Paid,Egypt
5,Suika Game,Paid,Egypt
6,RFS - Real Flight Simulator,Paid,Egypt
7,Stardew Valley,Paid,Egypt
8,Construction Simulator 4,Paid,Egypt
9,Earn to Die,Paid,Egypt
10,Terraria,Paid,Egypt
11,Mini Metro,Paid,Egypt
12,Five Nights at Freddy's,Paid,Egypt
13,Slay the Spire,Paid,Egypt
14,A Dance of Fire and Ice,Paid,Egypt
15,My Boy! - GBA Emulator,Paid,Egypt
16,Incredibox,Paid,Egypt
17,Magic Research 2,Paid,Egypt
18,Hitman Sniper,Paid,Egypt
19,MONOPOLY,Paid,Egypt
20,Poppy Playtime Chapter 1,Paid,Egypt
21,Farming Simulator 23 Mobile,Paid,Egypt
22,DRAGON QUEST VI,Paid,Egypt
23,Papa's Freezeria To Go!,Paid,Egypt
24,Papa's Paleteria To Go!,Paid,Egypt
25,Garten of Banban 7,Paid,Egypt
26,The Room,Paid,Egypt
27,Vector Classic,Paid,Egypt
28,Driving Zone: Germany Pro,Paid,Egypt
29,Five Nights at Freddy's 2,Paid,Egypt
30,PPSSPP Gold - PSP emulator,Paid,Egypt
31,Ultimate Custom Night,Paid,Egypt
32,Poppy Playtime Chapter 2,Paid,Egypt
33,Feign,Paid,Egypt
34,Dungeon Princess 3,Paid,Egypt
35,Driving Zone: Offroad,Paid,Egypt
36,DRAGON QUEST BUILDERS,Paid,Egypt
37,Papers Please,Paid,Egypt
38,60 Seconds! Reatomized,Paid,Egypt
39,Kingdom Rush Frontiers TD,Paid,Egypt
40,Super Meat Boy Forever,Paid,Egypt
41,GRID Autosport,Paid,Egypt
42,Dead Cells,Paid,Egypt
43,Evertale,Paid,Egypt
44,Five Nights at Freddy's 4,Paid,Egypt
45,Football Referee Simulator,Paid,Egypt
46,The Sun Origin Post Apocalypse,Paid,Egypt
47,ePSXe for Android,Paid,Egypt
48,My Child Lebensborn,Paid,Egypt
49,Metaverse Keeper,Paid,Egypt
50,Goat Simulator 3,Paid,Egypt
1,EA SPORTS FC Mobile Soccer,Grossing,Egypt
2,Wuthering Waves,Grossing,Egypt
3,Coin Master,Grossing,Egypt
4,Zynga Poker - Texas Holdem Game,Grossing,Egypt
5,League of Legends: Wild Rift,Grossing,Egypt
6,Jackpot Magic - Casino Slots,Grossing,Egypt
7,Hearthstone,Grossing,Egypt
8,PUBG MOBILE,Grossing,Egypt
9,ASTRA: Knights of Veda,Grossing,Egypt
10,CookieRun: Kingdom,Grossing,Egypt
11,8 Ball Pool,Grossing,Egypt
