Rank,Title,Type,Region
1,Manage Supermarket Simulator,Free,Iraq
2,Craft World - Master Block 3D,Free,Iraq
3,Pizza Ready!,Free,Iraq
4,Gangs Wars: Pixel Shooter RP,Free,Iraq
5,PUBG MOBILE,Free,Iraq
6,My Talking Tom Friends,Free,Iraq
7,Rush To Home,Free,Iraq
8,Beauty Care!,Free,Iraq
9,Roblox,Free,Iraq
10,Subway Surfers,Free,Iraq
11,Galaxy Attack: Shooting Game,Free,Iraq
12,Free Fire,Free,Iraq
13,Yalla Ludo - Ludo&Domino,Free,Iraq
14,2 3 4 Player Mini Games,Free,Iraq
15,Clean It: Cleaning Games,Free,Iraq
16,Makeover Artist: Makeup Games,Free,Iraq
17,Going Balls,Free,Iraq
18,eFootball 2024,Free,Iraq
19,Relax Mini Games,Free,Iraq
20,Hair Tattoo: Barber Shop Game,Free,Iraq
21,Football League 2024,Free,Iraq
22,School Party Craft,Free,Iraq
23,Build A Queen,Free,Iraq
24,Bridge Race,Free,Iraq
25,Traffic Rider,Free,Iraq
26,MiniCraft Village,Free,Iraq
27,Moto Rider Bike Racing Game,Free,Iraq
28,Beauty salon: Hairdressers,Free,Iraq
29,SAKURA School Simulator,Free,Iraq
30,Craftsman: Building Craft,Free,Iraq
31,Granny,Free,Iraq
32,Tic Tac Toe - 2 Player XO,Free,Iraq
33,Motocross Bike Racing Game,Free,Iraq
34,Hay Day,Free,Iraq
35,Thief Puzzle: to pass a level,Free,Iraq
36,Stickman Party 2 3 4 MiniGames,Free,Iraq
37,Football Strike: Online Soccer,Free,Iraq
38,Worms Zone .io - Hungry Snake,Free,Iraq
39,My Talking Angela 2,Free,Iraq
40,Hide 'N Seek!,Free,Iraq
41,Project Makeover,Free,Iraq
42,Ramp Car Games: GT Car Stunts,Free,Iraq
43,Cat Runner: Decorate Home,Free,Iraq
44,8 Ball Pool,Free,Iraq
45,Masha and the Bear Educational,Free,Iraq
46,Sponge Art,Free,Iraq
47,My Talking Tom 2,Free,Iraq
48,Tic Tac Toe 2 Player: XO Game,Free,Iraq
49,My Talking Tom,Free,Iraq
50,Bus Arrival,Free,Iraq
1,Minecraft,Paid,Iraq
2,Suika Game,Paid,Iraq
3,RFS - Real Flight Simulator,Paid,Iraq
4,Stardew Valley,Paid,Iraq
5,Terraria,Paid,Iraq
6,Bloons TD 6,Paid,Iraq
7,Five Nights at Freddy's,Paid,Iraq
8,Incredibox,Paid,Iraq
9,Slay the Spire,Paid,Iraq
10,Magic Research 2,Paid,Iraq
11,PPSSPP Gold - PSP emulator,Paid,Iraq
12,Skul: The Hero Slayer,Paid,Iraq
13,Poppy Playtime Chapter 1,Paid,Iraq
14,MONOPOLY,Paid,Iraq
15,Shadow Knight: Ninja Fighting,Paid,Iraq
16,Farming Simulator 23 Mobile,Paid,Iraq
17,Papa's Paleteria To Go!,Paid,Iraq
18,Driving Zone: Offroad,Paid,Iraq
19,The Room,Paid,Iraq
20,Five Nights at Freddy's 2,Paid,Iraq
21,Vector Classic,Paid,Iraq
22,Ultimate Custom Night,Paid,Iraq
23,Driving Zone: Germany Pro,Paid,Iraq
24,Construction Simulator 4,Paid,Iraq
25,Five Nights at Freddy's 4,Paid,Iraq
26,Super Meat Boy Forever,Paid,Iraq
27,Poppy Playtime Chapter 2,Paid,Iraq
28,Dead Cells,Paid,Iraq
29,Kingdom Rush Frontiers TD,Paid,Iraq
30,ePSXe for Android,Paid,Iraq
31,Legends of Heropolis DX,Paid,Iraq
32,Feign,Paid,Iraq
33,Garten of Banban 7,Paid,Iraq
34,The Sun Origin Post Apocalypse,Paid,Iraq
35,Streets of Rage 4,Paid,Iraq
36,Human Fall Flat,Paid,Iraq
37,Papers  Please,Paid,Iraq
38,EvoCreo - Pocket Monster Game,Paid,Iraq
39,Age of History II,Paid,Iraq
40,Dungeon Squad,Paid,Iraq
41,My Child Lebensborn,Paid,Iraq
42,Goat Simulator 3,Paid,Iraq
43,Papa's Sushiria To Go!,Paid,Iraq
44,Bloons TD 5,Paid,Iraq
45,Dungeon Princess 3,Paid,Iraq
46,EK Pool 2024,Paid,Iraq
47,Pirates Outlaws,Paid,Iraq
48,Papa's Mocharia To Go!,Paid,Iraq
49,Kingdom Rush Origins TD,Paid,Iraq
50,Reporter 2 - Scary Horror Game,Paid,Iraq
1,Yalla Ludo - Ludo&Domino,Grossing,Iraq
2,PUBG MOBILE,Grossing,Iraq
3,eFootball 2024,Grossing,Iraq
4,Free Fire,Grossing,Iraq
5,Roblox,Grossing,Iraq
6,Clash of Clans,Grossing,Iraq
7,TopTop: Games&Chat,Grossing,Iraq
8,Slotomania Slots Casino Games,Grossing,Iraq
9,Whiteout Survival,Grossing,Iraq
10,Brawl Stars,Grossing,Iraq
11,Mobile Legends: Bang Bang,Grossing,Iraq
12,Call of Duty: Mobile Season 5,Grossing,Iraq
13,Jawaker Hand Trix & Solitaire,Grossing,Iraq
14,Royal Match,Grossing,Iraq
15,Merge Kingdoms,Grossing,Iraq
16,Clash Royale,Grossing,Iraq
17,Kiss of War -,Grossing,Iraq
18,Hay Day,Grossing,Iraq
19,Free Fire MAX,Grossing,Iraq
20,Rise of Kingdoms: Lost Crusade,Grossing,Iraq
21,RAID: Shadow Legends,Grossing,Iraq
22,8 Ball Pool,Grossing,Iraq
23,Lama Ludo-Ludo&Chatroom,Grossing,Iraq
24,Genshin Impact,Grossing,Iraq
25,Minecraft,Grossing,Iraq
26,Conquerors: Golden Age,Grossing,Iraq
27,Candy Crush Saga,Grossing,Iraq
28,MONOPOLY GO!,Grossing,Iraq
29,Last War: Survival Game,Grossing,Iraq
30,Wuthering Waves,Grossing,Iraq
31,نداء ا�,Grossing,Iraq
32,Evony: The King's Return,Grossing,Iraq
33,Texas Hold'em Poker: Pokerist,Grossing,Iraq
34,Squad Busters,Grossing,Iraq
35,Blockman Go,Grossing,Iraq
36,Backgammon Legends Online,Grossing,Iraq
37,Lords Mobile: Kingdom Wars,Grossing,Iraq
38,Gardenscapes,Grossing,Iraq
39,Age of Origins,Grossing,Iraq
40,Match Masters - PvP Match 3,Grossing,Iraq
41,Top War: Battle Game,Grossing,Iraq
42,War Robots Multiplayer Battles,Grossing,Iraq
43,Last Island of Survival,Grossing,Iraq
44,ONE PIECE Bounty Rush,Grossing,Iraq
45,Fishdom,Grossing,Iraq
46,Okey Plus,Grossing,Iraq
47,Township,Grossing,Iraq
48,101 Okey VIP,Grossing,Iraq
49,Warpath: Ace Shooter,Grossing,Iraq
50,Family Farm Seaside,Grossing,Iraq
