Rank,Title,Type,Region
1,Manage Supermarket Simulator,Free,Morocco
2,Free Fire,Free,Morocco
3,Subway Surfers,Free,Morocco
4,Parchisi STAR Online,Free,Morocco
5,Lovely Pet,Free,Morocco
6,Pizza Ready!,Free,Morocco
7,Football League 2024,Free,Morocco
8,Big Sports,Free,Morocco
9,Subway Princess Runner,Free,Morocco
10,EA SPORTS FC Mobile Soccer,Free,Morocco
11,2 3 4 Player Mini Games,Free,Morocco
12,Piano Fire: Edm Music & Piano,Free,Morocco
13,كلمات كراش - لعبة تسلية وتحدي,Free,Morocco
14,8 Ball Pool,Free,Morocco
15,Tic Tac Toe 2 Player: XO Game,Free,Morocco
16,Mob Control,Free,Morocco
17,Traffic Rider,Free,Morocco
18,Talking Tom Hero Dash,Free,Morocco
19,Ramp Car Games: GT Car Stunts,Free,Morocco
20,Free Fire MAX,Free,Morocco
21,Granny,Free,Morocco
22,My Talking Angela 2,Free,Morocco
23,Race Master 3D - Car Racing,Free,Morocco
24,Makeup Show: Makeover Salon,Free,Morocco
25,Build A Queen,Free,Morocco
26,Roblox,Free,Morocco
27,DOP 4: Draw One Part,Free,Morocco
28,Car Race 3D: Car Racing,Free,Morocco
29,Payback 2 - The Battle Sandbox,Free,Morocco
30,Pure Sniper: Gun Shooter Games,Free,Morocco
31,Toon Cup - Football Game,Free,Morocco
32,My Talking Tom,Free,Morocco
33,Block Craft 3D Building Game,Free,Morocco
34,Tic Tac Toe - 2 Player XO,Free,Morocco
35,Cat Runner: Decorate Home,Free,Morocco
36,Lords Mobile: Kingdom Wars,Free,Morocco
37,Left or right: Magic Dress up,Free,Morocco
38,Wood Nuts & Bolts Screw,Free,Morocco
39,Snake.io - Fun Snake .io Games,Free,Morocco
40,Gangster Simulator Crime Game,Free,Morocco
41,Stickman Party 2 3 4 MiniGames,Free,Morocco
42,Piano Game: Classic Music Song,Free,Morocco
43,Relax Mini Games,Free,Morocco
44,Magic Tiles 3,Free,Morocco
45,Hair Tattoo: Barber Shop Game,Free,Morocco
46,Thief Puzzle: to pass a level,Free,Morocco
47,Hypermarket 3D,Free,Morocco
48,Hunter Assassin,Free,Morocco
49,My Talking Tom Friends,Free,Morocco
50,My Talking Tom 2,Free,Morocco
1,Minecraft,Paid,Morocco
2,Grand Theft Auto: San Andreas,Paid,Morocco
3,Geometry Dash,Paid,Morocco
4,LIMBO,Paid,Morocco
5,RFS - Real Flight Simulator,Paid,Morocco
6,Stardew Valley,Paid,Morocco
7,Suika Game,Paid,Morocco
8,Terraria,Paid,Morocco
9,Bloons TD 6,Paid,Morocco
10,Earn to Die,Paid,Morocco
11,Five Nights at Freddy's,Paid,Morocco
12,Mini Metro,Paid,Morocco
13,Hitman Sniper,Paid,Morocco
14,Slay the Spire,Paid,Morocco
15,My Boy! - GBA Emulator,Paid,Morocco
16,Incredibox,Paid,Morocco
17,A Dance of Fire and Ice,Paid,Morocco
18,Shadow Knight: Ninja Fighting,Paid,Morocco
19,Magic Research 2,Paid,Morocco
20,Poppy Playtime Chapter 1,Paid,Morocco
21,Vector Classic,Paid,Morocco
22,Driving Zone: Germany Pro,Paid,Morocco
23,Farming Simulator 23 Mobile,Paid,Morocco
24,MONOPOLY,Paid,Morocco
25,PPSSPP Gold - PSP emulator,Paid,Morocco
26,The Room,Paid,Morocco
27,Papa's Freezeria To Go!,Paid,Morocco
28,Five Nights at Freddy's 2,Paid,Morocco
29,Super Meat Boy Forever,Paid,Morocco
30,Ultimate Custom Night,Paid,Morocco
31,Evertale,Paid,Morocco
32,Don't Starve: Pocket Edition,Paid,Morocco
33,Papa's Paleteria To Go!,Paid,Morocco
34,GRID Autosport,Paid,Morocco
35,Driving Zone: Offroad,Paid,Morocco
36,Dungeon Princess 3,Paid,Morocco
37,Five Nights at Freddy's 4,Paid,Morocco
38,Poppy Playtime Chapter 2,Paid,Morocco
39,True Skate,Paid,Morocco
40,Kingdom Rush Frontiers TD,Paid,Morocco
41,My Child Lebensborn,Paid,Morocco
42,Football Referee Simulator,Paid,Morocco
43,The Sun Origin Post Apocalypse,Paid,Morocco
44,Dead Cells,Paid,Morocco
45,Human Fall Flat,Paid,Morocco
46,Goat Simulator 3,Paid,Morocco
47,Reporter - Scary Horror Game,Paid,Morocco
48,Papers Please,Paid,Morocco
49,Monument Valley,Paid,Morocco
50,ePSXe for Android,Paid,Morocco
1,eFootball 2024,Grossing,Morocco
2,Free Fire,Grossing,Morocco
3,PUBG MOBILE,Grossing,Morocco
4,Roblox,Grossing,Morocco
5,EA SPORTS FC Mobile Soccer,Grossing,Morocco
6,Brawl Stars,Grossing,Morocco
7,Candy Crush Saga,Grossing,Morocco
8,Coin Master,Grossing,Morocco
9,Free Fire MAX,Grossing,Morocco
10,Royal Match,Grossing,Morocco
11,Mobile Legends: Bang Bang,Grossing,Morocco
12,انتقام ,Grossing,Morocco
13,Parchisi STAR Online,Grossing,Morocco
14,Huuuge Casino 777 Slots Games,Grossing,Morocco
15,Call of Duty: Mobile Season 5,Grossing,Morocco
16,8 Ball Pool,Grossing,Morocco
17,Viking Rise: Valhalla,Grossing,Morocco
18,Last War: Survival Game,Grossing,Morocco
19,Whiteout Survival,Grossing,Morocco
20,نداء الح�,Grossing,Morocco
21,Lords Mobile: Kingdom Wars,Grossing,Morocco
22,Lotsa Slots - Casino Games,Grossing,Morocco
23,Travel Town - Merge Adventure,Grossing,Morocco
24,Warpath: Ace Shooter,Grossing,Morocco
25,Total Battle: War Strategy,Grossing,Morocco
26,Kiss of War - ,Grossing,Morocco
27,DOFUS Touch: A WAKFU Prequel,Grossing,Morocco
28,Evony: The King's Return,Grossing,Morocco
29,Gardenscapes,Grossing,Morocco
30,Jackpot Magic - Casino Slots,Grossing,Morocco
31,Diablo Immortal,Grossing,Morocco
32,Honkai: Star Rail,Grossing,Morocco
33,Zynga Poker - Texas Holdem Game,Grossing,Morocco
34,TopTop: Games&Chat,Grossing,Morocco
35,Match Masters - PvP Match 3,Grossing,Morocco
36,Jackpot Master Slots - Casino,Grossing,Morocco
37,MONOPOLY GO!,Grossing,Morocco
38,Township,Grossing,Morocco
39,Genshin Impact,Grossing,Morocco
40,Yalla Ludo - Ludo&Domino,Grossing,Morocco
41,Seaside Escape: Merge & Story,Grossing,Morocco
42,Gossip Harbor: Merge & Story,Grossing,Morocco
43,Dream League Soccer 2024,Grossing,Morocco
44,Fishdom,Grossing,Morocco
45,Clash of Clans,Grossing,Morocco
46,Solo Leveling: Arise,Grossing,Morocco
47,West Game,Grossing,Morocco
48,League of Legends: Wild Rift,Grossing,Morocco
49,UNO!,Grossing,Morocco
50,The Grand Mafia,Grossing,Morocco
