Rank,Title,Type,Region
1,Manage Supermarket Simulator,Free,Saudi Arabia
2,Whiteout Survival,Free,Saudi Arabia
3,Roblox,Free,Saudi Arabia
4,My Talking Tom Friends,Free,Saudi Arabia
5,Snake.io - Fun Snake .io Games,Free,Saudi Arabia
6,Subway Surfers,Free,Saudi Arabia
7,Tic Tac Toe - 2 Player XO,Free,Saudi Arabia
8,Obby Parkour: Runner Game,Free,Saudi Arabia
9,Die Again: Troll Game Ever,Free,Saudi Arabia
10,PUBG MOBILE,Free,Saudi Arabia
11,Pizza Ready!,Free,Saudi Arabia
12,Race Master 3D - Car Racing,Free,Saudi Arabia
13,Free Fire,Free,Saudi Arabia
14,EA SPORTS  Mobile Soccer,Free,Saudi Arabia
15,Braindom: Brain Games Test,Free,Saudi Arabia
16,Supermarket Manager Simulator,Free,Saudi Arabia
17,Heroes of Crown: Legends,Free,Saudi Arabia
18,Going Balls,Free,Saudi Arabia
19,Wood Nuts & Bolts  Screw,Free,Saudi Arabia
20,Magic Tiles 3,Free,Saudi Arabia
21,Ice Cream Inc. ASMR ,Free,Saudi Arabia
22,Vehicle Masters,Free,Saudi Arabia
23,2 3 4 Player Mini Games,Free,Saudi Arabia
24,Snake Clash!,Free,Saudi Arabia
25,Marble Match Origin,Free,Saudi Arabia
26,Build A Queen,Free,Saudi Arabia
27,STAR: Super Tricky Amazing Run,Free,Saudi Arabia
28,Left or right: Magic Dress up,Free,Saudi Arabia
29,Hajwala & Waznyat Simulator,Free,Saudi Arabia
30,Royal Match,Free,Saudi Arabia
31,Gangster Simulator Crime Game,Free,Saudi Arabia
32,Craft World - Master Block 3D,Free,Saudi Arabia
33,Soccer Superstar,Free,Saudi Arabia
34,Stickman Party 2 3 4 MiniGames,Free,Saudi Arabia
35,Toca Boca World,Free,Saudi Arabia
36,My Talking Angela 2,Free,Saudi Arabia
37,Football League 2024,Free,Saudi Arabia
38,School Party Craft,Free,Saudi Arabia
39,Real Car Driving: Race City 3D,Free,Saudi Arabia
40,Car Race 3D: Car Racing,Free,Saudi Arabia
41,Call of Duty: Mobile Season 5,Free,Saudi Arabia
42,Scary Teacher 3D,Free,Saudi Arabia
43,Yalla Ludo - Ludo&Domino,Free,Saudi Arabia
44,Block Blast!,Free,Saudi Arabia
45,Granny,Free,Saudi Arabia
46,Hide in The Backrooms Nextbots,Free,Saudi Arabia
47,Thief Puzzle: to pass a level,Free,Saudi Arabia
48,My Talking Tom 2,Free,Saudi Arabia
49,Hide 'N Seek!,Free,Saudi Arabia
50,DOP: Draw One Part,Free,Saudi Arabia
1,Minecraft,Paid,Saudi Arabia
2,Grand Theft Auto: San Andreas,Paid,Saudi Arabia
3,الم�,Paid,Saudi Arabia
4,RFS - Real Flight Simulator,Paid,Saudi Arabia
5,Poppy Playtime Chapter 1,Paid,Saudi Arabia
6,Geometry Dash,Paid,Saudi Arabia
7,Bloons TD 6,Paid,Saudi Arabia
8,Poppy Playtime Chapter 2,Paid,Saudi Arabia
9,Driving Zone: Germany Pro,Paid,Saudi Arabia
10,Human Fall Flat,Paid,Saudi Arabia
11,Garten of Banban 7,Paid,Saudi Arabia
12,Hitman Sniper,Paid,Saudi Arabia
13,Five Nights at Freddy's,Paid,Saudi Arabia
14,Bendy and the Ink Machine,Paid,Saudi Arabia
15,Stardew Valley,Paid,Saudi Arabia
16,Super Meat Boy Forever,Paid,Saudi Arabia
17,Garten of Banban 3,Paid,Saudi Arabia
18,MONOPOLY,Paid,Saudi Arabia
19,ePSXe for Android,Paid,Saudi Arabia
20,Vector Classic,Paid,Saudi Arabia
21,The Room,Paid,Saudi Arabia
22,Ultimate Custom Night,Paid,Saudi Arabia
23,Terraria,Paid,Saudi Arabia
24,Incredibox,Paid,Saudi Arabia
25,Five Nights at Freddy's 2,Paid,Saudi Arabia
26,Skul: The Hero Slayer,Paid,Saudi Arabia
27,Garten of Banban 4,Paid,Saudi Arabia
28,Earn to Die,Paid,Saudi Arabia
29,My Child Lebensborn,Paid,Saudi Arabia
30,Garten of Banban 2,Paid,Saudi Arabia
31,Goat Simulator 3,Paid,Saudi Arabia
32,Streets of Rage 4,Paid,Saudi Arabia
33,Shadow Knight: Ninja Fighting,Paid,Saudi Arabia
34,�ASHFLOW,Paid,Saudi Arabia
35,PPSSPP Gold - PSP emulator,Paid,Saudi Arabia
36,My PlayHome Stores,Paid,Saudi Arabia
37,Garten of Banban 6,Paid,Saudi Arabia
38,Monument Valley,Paid,Saudi Arabia
39,Slendrina,Paid,Saudi Arabia
40,Papers  Please,Paid,Saudi Arabia
41,House of Slendrina,Paid,Saudi Arabia
42,SAMURAI II: VENGEANCE,Paid,Saudi Arabia
43,Construction Simulator 4,Paid,Saudi Arabia
44,Mini Metro,Paid,Saudi Arabia
45,Driving Zone: Offroad,Paid,Saudi Arabia
46,LEGO Batman: Beyond Gotham,Paid,Saudi Arabia
47,Grand Theft Auto: Vice City,Paid,Saudi Arabia
48,My PlayHome School,Paid,Saudi Arabia
49,Pascal's Wager,Paid,Saudi Arabia
50,Aerofly FS 2020,Paid,Saudi Arabia
1,PUBG MOBILE,Grossing,Saudi Arabia
2,Roblox,Grossing,Saudi Arabia
3,Yalla Ludo - Ludo&Domino,Grossing,Saudi Arabia
4,Last War:Survival Game,Grossing,Saudi Arabia
5,Whiteout Survival,Grossing,Saudi Arabia
6,TopTop: Games&Chat,Grossing,Saudi Arabia
7,Royal Match,Grossing,Saudi Arabia
8,Ludo STAR: Online Dice Game,Grossing,Saudi Arabia
9,Free Fire,Grossing,Saudi Arabia
10,EA SPORTS FC�  Mobile Soccer,Grossing,Saudi Arabia
11,Clash of Clans,Grossing,Saudi Arabia
12,Brawl Stars,Grossing,Saudi Arabia
13,Mobile Legends: Bang Bang,Grossing,Saudi Arabia
14,MONOPOLY GO!,Grossing,Saudi Arabia
15,Age of Origins ,Grossing,Saudi Arabia
16,Candy Crush Saga,Grossing,Saudi Arabia
17,Call of Duty: Mobile Season 5,Grossing,Saudi Arabia
18,Lords Mobile: Kingdom Wars,Grossing,Saudi Arabia
19,Rise of Kingdoms: Lost Crusade,Grossing,Saudi Arabia
20,Jawaker Hand  Trix & Solitaire,Grossing,Saudi Arabia
21,Evony: The King's Return,Grossing,Saudi Arabia
22,انتقام ,Grossing,Saudi Arabia
23,Gardenscapes,Grossing,Saudi Arabia
24,Wuthering Waves,Grossing,Saudi Arabia
25,Free Fire MAX,Grossing,Saudi Arabia
26,Total Battle: War Strategy,Grossing,Saudi Arabia
27,مداقش - Mdagsh,Grossing,Saudi Arabia
28,eFootball 2024,Grossing,Saudi Arabia
29,نداء  ,Grossing,Saudi Arabia
30, Kammelna,Grossing,Saudi Arabia
31,Solo Leveling:Arise,Grossing,Saudi Arabia
32,Tarbiah Baloot  Arabic game,Grossing,Saudi Arabia
33,Match Masters  - PvP Match 3,Grossing,Saudi Arabia
34,Squad Busters,Grossing,Saudi Arabia
35,Fishdom,Grossing,Saudi Arabia
36,Top War: Battle Game,Grossing,Saudi Arabia
37,Township,Grossing,Saudi Arabia
38,Hay Day,Grossing,Saudi Arabia
39,State of Survival: Zombie War,Grossing,Saudi Arabia
40,8 Ball Pool,Grossing,Saudi Arabia
41,Toca Boca World,Grossing,Saudi Arabia
42,Lineage W,Grossing,Saudi Arabia
43,Age of Apes,Grossing,Saudi Arabia
44,Homescapes,Grossing,Saudi Arabia
45,Kingdom Guard:Tower Defense TD,Grossing,Saudi Arabia
46,بلوت VIP,Grossing,Saudi Arabia
47,The Ants: Underground Kingdom,Grossing,Saudi Arabia
48,Doomsday: Last Survivors,Grossing,Saudi Arabia
49,Travel Town - Merge Adventure,Grossing,Saudi Arabia
50,Empires & Puzzles: Match-3 RPG,Grossing,Saudi Arabia
