UAE T50 Game Name,Game details - Description 
2 3 4 Player Mini Games,Collection of mini-games designed for multiplayer play
8 Ball Pool,Simulation of 8-ball pool with online multiplayer features
A Dance of Fire and Ice,Rhythm game with challenging levels and precise controls
Age of Origins,Strategy game with city building and zombie battles
Agent Hunt - Hitman Shooter,"Shooter game where players take on missions as a hitman, featuring stealth and action mechanics"
Animal Hunter: Wild Shooting,Hunting simulation game with various animals and environments
Block Blast!,Block puzzle game with colorful graphics and addictive gameplay
Bloons TD 6,Tower defense game with various levels and monkey towers
Braindom: Brain Games Test,Collection of brain games and puzzles to test cognitive skills
Brawl Stars,Multiplayer online battle game with various characters and modes
Bricks Breaker Quest,Brick-breaking puzzle game with various levels and power-ups
Bubble Shooter,Classic bubble-shooting puzzle game with various levels
Build A Queen,Puzzle game involving building and upgrading structures
Call of Dragons,Strategy game with dragon battles and kingdom building
Call of Duty: Mobile Season 5,Mobile version of the popular first-person shooter game with various modes
Candy Crush Saga,Popular match-3 puzzle game with various levels and challenges
Car Race 3D: Car Racing,3D car racing game with various cars and tracks
Carrom Pool: Disc Game,Digital version of the traditional carrom board game
Clash of Clans,"Strategy game with base building, resource management, and clan wars"
Clash Royale,Real-time strategy game with card collection and battles
Dead Cells,Roguelike action platformer with procedural generation
Dice Dreams,Board game with dice rolling and adventure elements
Don't Starve: Pocket Edition,"Survival game with crafting, exploration, and resource management"
Doomsday: Last Survivors,Survival strategy game set in a post-apocalyptic world
Driving Zone: Germany Pro,Driving simulation game with realistic physics and German cars
Driving Zone: Offroad,Off-road driving simulation game with realistic physics
Dungeon Princess 3,Dungeon-crawling RPG with combat and exploration
EA SPORTS FC Mobile Soccer,Mobile soccer game with realistic gameplay and team management
EA SPORTS FC™ Mobile Soccer,Mobile soccer game with realistic gameplay and team management
Earn to Die,Driving game where players navigate through zombie-infested landscapes
eFootball 2024,Soccer simulation game with realistic gameplay and online multiplayer
Empires & Puzzles: Match-3 RPG,Match-3 puzzle game combined with RPG elements
