Rank,Title,Type,Region
1,Whiteout Survival,Free,United-Arab-Emirates
2,Manage Supermarket Simulator,Free,United-Arab-Emirates
3,Lucky Dream,Free,United-Arab-Emirates
4,Wood Nuts & Bolts  Screw,Free,United-Arab-Emirates
5,Pizza Ready!,Free,United-Arab-Emirates
6,Subway Surfers,Free,United-Arab-Emirates
7,Braindom: Brain Games Test,Free,United-Arab-Emirates
8,Ludo King ,Free,United-Arab-Emirates
9,8 Ball Pool,Free,United-Arab-Emirates
10,Agent Hunt - Hitman Shooter,Free,United-Arab-Emirates
11,Yalla Ludo - Ludo&Domino,Free,United-Arab-Emirates
12,Roblox,Free,United-Arab-Emirates
13,Royal Match,Free,United-Arab-Emirates
14,Candy Crush Saga,Free,United-Arab-Emirates
15,Free Fire,Free,United-Arab-Emirates
16,PUBG MOBILE,Free,United-Arab-Emirates
17,Marble Match Origin,Free,United-Arab-Emirates
18,Race Master 3D - Car Racing,Free,United-Arab-Emirates
19,Snake Clash!,Free,United-Arab-Emirates
20,Going Balls,Free,United-Arab-Emirates
21,Offroad Runner,Free,United-Arab-Emirates
22,Block Blast!,Free,United-Arab-Emirates
23,Traffic Escape!,Free,United-Arab-Emirates
24,EA SPORTS FC™ Mobile Soccer,Free,United-Arab-Emirates
25,Mob Control,Free,United-Arab-Emirates
26,Vehicle Masters,Free,United-Arab-Emirates
27,Hill Climb Racing,Free,United-Arab-Emirates
28,Bricks Breaker Quest,Free,United-Arab-Emirates
29,Car Race 3D: Car Racing,Free,United-Arab-Emirates
30,Free Fire MAX,Free,United-Arab-Emirates
31,Magic Tiles 3,Free,United-Arab-Emirates
32,2 3 4 Player Mini Games,Free,United-Arab-Emirates
33,Honor of Kings,Free,United-Arab-Emirates
34,Carrom Pool: Disc Game,Free,United-Arab-Emirates
35,Subway Princess Runner,Free,United-Arab-Emirates
36,Bubble Shooter,Free,United-Arab-Emirates
37,Animal Hunter: Wild Shooting,Free,United-Arab-Emirates
38,Squad Busters,Free,United-Arab-Emirates
39,My Talking Angela 2,Free,United-Arab-Emirates
40,Doomsday: Last Survivors,Free,United-Arab-Emirates
41,Build A Queen,Free,United-Arab-Emirates
42,Snake.io - Fun Snake .io Games,Free,United-Arab-Emirates
43,Phone Case DIY,Free,United-Arab-Emirates
44,Kick the Buddy  Fun Action Game,Free,United-Arab-Emirates
45,Moto Rider  Bike Racing Game,Free,United-Arab-Emirates
46,Ludo STAR: Online Dice Game,Free,United-Arab-Emirates
47,Wood Nuts & Bolts Puzzle,Free,United-Arab-Emirates
48,Call of Duty: Mobile Season 5,Free,United-Arab-Emirates
49,Shape Transforming: Shape Race,Free,United-Arab-Emirates
50,Pure Sniper: Gun Shooter Games,Free,United-Arab-Emirates
1,Minecraft,Paid,United-Arab-Emirates
2,Grand Theft Auto: San Andreas,Paid,United-Arab-Emirates
3,Geometry Dash,Paid,United-Arab-Emirates
4,LIMBO,Paid,United-Arab-Emirates
5,RFS - Real Flight Simulator,Paid,United-Arab-Emirates
6,Stardew Valley,Paid,United-Arab-Emirates
7,Suika Game,Paid,United-Arab-Emirates
8,Terraria,Paid,United-Arab-Emirates
9,Bloons TD 6,Paid,United-Arab-Emirates
10,Earn to Die,Paid,United-Arab-Emirates
11,Five Nights at Freddy's,Paid,United-Arab-Emirates
12,Mini Metro,Paid,United-Arab-Emirates
13,Hitman Sniper,Paid,United-Arab-Emirates
14,Slay the Spire,Paid,United-Arab-Emirates
15,My Boy! - GBA Emulator,Paid,United-Arab-Emirates
16,Incredibox,Paid,United-Arab-Emirates
17,A Dance of Fire and Ice,Paid,United-Arab-Emirates
18,Shadow Knight: Ninja Fighting,Paid,United-Arab-Emirates
19,Magic Research 2,Paid,United-Arab-Emirates
20,Poppy Playtime Chapter 1,Paid,United-Arab-Emirates
21,Vector Classic,Paid,United-Arab-Emirates
22,Driving Zone: Germany Pro,Paid,United-Arab-Emirates
23,Farming Simulator 23 Mobile,Paid,United-Arab-Emirates
24,MONOPOLY,Paid,United-Arab-Emirates
25,PPSSPP Gold - PSP emulator,Paid,United-Arab-Emirates
26,The Room,Paid,United-Arab-Emirates
27,Papa's Freezeria To Go!,Paid,United-Arab-Emirates
28,Five Nights at Freddy's 2,Paid,United-Arab-Emirates
29,Super Meat Boy Forever,Paid,United-Arab-Emirates
30,Ultimate Custom Night,Paid,United-Arab-Emirates
31,Evertale,Paid,United-Arab-Emirates
32,Don't Starve: Pocket Edition,Paid,United-Arab-Emirates
33,Papa's Paleteria To Go!,Paid,United-Arab-Emirates
34,GRID Autosport,Paid,United-Arab-Emirates
35,Driving Zone: Offroad,Paid,United-Arab-Emirates
36,Dungeon Princess 3,Paid,United-Arab-Emirates
37,Five Nights at Freddy's 4,Paid,United-Arab-Emirates
38,Poppy Playtime Chapter 2,Paid,United-Arab-Emirates
39,True Skate,Paid,United-Arab-Emirates
40,Kingdom Rush Frontiers TD,Paid,United-Arab-Emirates
41,My Child Lebensborn,Paid,United-Arab-Emirates
42,Football Referee Simulator,Paid,United-Arab-Emirates
43,The Sun Origin Post Apocalypse,Paid,United-Arab-Emirates
44,Dead Cells,Paid,United-Arab-Emirates
45,Human Fall Flat,Paid,United-Arab-Emirates
46,Goat Simulator 3,Paid,United-Arab-Emirates
47,Reporter - Scary Horror Game,Paid,United-Arab-Emirates
